# 種族資訊面板欄位(RACESTUF.LBX asset 8,32 條)。英文原文即 key。Sonnet 翻 + Opus 驗。
government	政體	種族
Population Growth:	人口成長:	種族
Food Production:	糧食生產:	種族
Industrial Production	工業生產	種族
Scientific Research:	科學研究:	種族
Tax:	稅收:	種族
Ship Defense:	艦船防禦:	種族
Ship Offense:	艦船攻擊:	種族
Ground Combat:	地面戰鬥:	種族
Espionage:	間諜活動:	種族
Low Gravity	低重力	種族
High Gravity	高重力	種族
Aquatic	水棲	種族
Subterranean	地底	種族
Large Home World	大型母星	種族
Rich Home World	富饒母星	種族
Artifacts Home World	遺跡母星	種族
Cybernetic	半機械化	種族
Lithovore	食石	種族
Repulsive	令人厭惡	種族
Charismatic	魅力非凡	種族
Uncreative	缺乏創造力	種族
Creative	富創造力	種族
Tolerant	適應力強	種族
Expert Traders	貿易專家	種族
Telepathic	心電感應	種族
Lucky	幸運	種族
Omniscient	全知	種族
Stealth Ships	匿蹤艦船	種族
Trans Dimensional	跨次元	種族
Warlord	好戰	種族
Poor Home World	貧瘠母星	種族
